City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,afaahiti,-17.75,-149.2833,74.16,63,100,7.45,PF,1732216787
178,san jose del guaviare,2.5729,-72.6459,80.98,84,94,1.01,CO,1732216788
179,berezovyy,51.6667,135.7,15.46,92,100,3.51,RU,1732216789
180,bibiani,6.4635,-2.3194,75.94,50,1,0.56,GH,1732216791
181,altai,46.3722,96.2583,18.95,60,100,3.29,MN,1732216792
182,lata,40.1629,-8.3327,62.49,79,100,6.87,PT,1732216793
183,santa cruz,-17.8,-63.1667,86.05,70,75,12.66,BO,1732216663
184,lihue,21.9789,-159.3672,76.59,69,20,6.91,US,1732216795
185,dompu,-8.5356,118.4622,77.29,91,92,0.47,ID,1732216796
186,uturoa,-16.7333,-151.4333,77.18,61,100,9.33,PF,1732216797
187,ta`u,-14.2336,-169.5144,80.15,83,93,20.42,AS,1732216798
188,roma,43.2128,-75.4557,38.37,99,100,3.44,US,1732216676
189,katsuren-haebaru,26.3369,127.8719,68.02,95,100,5.75,JP,1732216800
190,nampa,43.5407,-116.5635,55.04,58,0,14.97,US,1732216801
191,uberlandia,-18.9186,-48.2772,81.61,54,20,4.61,BR,1732216541
192,gaozhou,21.9392,110.8461,63.77,78,0,4.27,CN,1732216804
193,jamestown,42.097,-79.2353,37.04,89,100,3.44,US,1732216385
194,ardestan,33.3761,52.3694,56.59,49,20,1.81,IR,1732216806
195,ulladulla,-35.35,150.4667,59.05,79,0,6.46,AU,1732216807
196,papatowai,-46.5619,169.4708,48.13,77,100,13.6,NZ,1732216808
197,howrah,22.5892,88.3103,71.6,73,20,0.0,IN,1732216809
198,ixtapa,20.7,-105.2,82.22,65,0,6.91,MX,1732216810
199,rio hondo,15.0667,-89.5833,78.06,69,100,0.0,GT,1732216811
200,harper,4.375,-7.7169,78.51,87,7,7.47,LR,1732216812
201,maxixe,-23.8597,35.3472,74.62,91,0,6.62,MZ,1732216813
202,pacific grove,36.6177,-121.9166,69.48,69,75,5.01,US,1732216522
203,port-gentil,-0.7193,8.7815,79.05,83,96,14.25,GA,1732216815
204,taslicay,39.6336,43.375,36.7,86,54,6.58,TR,1732216818
205,kivioli,59.3531,26.9711,32.11,86,82,13.13,EE,1732216819
206,armacao de buzios,-22.7469,-41.8817,75.25,88,36,17.63,BR,1732216695
207,al artawiyah,26.5053,45.3444,71.94,25,100,9.51,SA,1732216821
208,khandyga,62.6667,135.6,-9.18,100,100,1.81,RU,1732216822
209,carutapera,-1.195,-46.02,85.78,62,12,11.59,BR,1732216823
210,kingston,17.997,-76.7936,89.17,62,20,8.05,JM,1732216824
211,marsh harbour,26.5412,-77.0636,76.3,83,14,13.13,BS,1732216825
212,rio gallegos,-51.6226,-69.2181,68.05,34,20,18.41,AR,1732216828
213,kirakira,-10.4544,161.9205,79.43,86,23,4.54,SB,1732216830
214,santa maria del oro,25.9333,-105.3667,71.64,21,14,4.29,MX,1732216831
215,tangalle,6.024,80.7911,75.24,94,100,1.32,LK,1732216816
216,beloyarskiy,63.7119,66.6722,-13.4,100,38,0.81,RU,1732216833
217,amursk,50.2261,136.8994,21.83,80,100,15.01,RU,1732216834
218,mount gambier,-37.8333,140.7667,59.31,50,100,6.04,AU,1732216835
219,aasiaat,68.7098,-52.8699,23.41,95,100,5.5,GL,1732216836
220,touros,-5.1989,-35.4608,82.94,61,18,10.92,BR,1732216837
221,kiruna,67.8557,20.2251,14.92,86,100,14.97,SE,1732216561
222,nanao,37.05,136.9667,52.48,71,100,9.31,JP,1732216840
223,murgab,37.4966,61.9714,51.67,66,75,4.61,TM,1732216841
224,saipan,15.1355,145.701,83.1,84,40,11.5,MP,1732216842
225,constantia,44.1833,28.65,32.68,70,1,10.16,RO,1732216589
226,entebbe,0.0644,32.4469,75.52,69,20,3.44,UG,1732216844
227,bokoro,12.3807,17.0568,77.59,15,10,8.37,TD,1732216845
228,safotu,-13.4513,-172.4018,81.46,86,100,18.88,WS,1732216846
229,cody,44.5263,-109.0565,56.59,24,0,14.97,US,1732216847
230,sittwe,20.15,92.9,74.73,82,0,8.7,MM,1732216848
231,bac lieu,9.285,105.7244,78.64,86,92,13.38,VN,1732216849
232,el burgo de osma,41.5862,-3.0652,48.99,82,100,31.88,ES,1732216850
233,gjovik,60.7947,10.6929,24.94,29,100,6.93,NO,1732216851
234,nizhnekamsk,55.6366,51.8245,34.59,80,100,15.66,RU,1732216853
235,usogorsk,63.4106,48.6872,35.46,94,100,11.36,RU,1732216854
236,cox's bazar,21.4532,91.9798,69.98,71,0,6.46,BD,1732216855
237,ziro,27.6333,93.8333,40.89,76,0,2.28,IN,1732216856
238,la'ie,21.6477,-157.9253,80.06,65,1,4.0,US,1732216857
239,mogadishu,2.0371,45.3438,80.4,75,97,12.26,SO,1732216858
240,vorgashor,67.5833,63.95,-11.99,100,100,5.03,RU,1732216859
241,anna regina,7.2644,-58.5077,84.43,68,100,7.58,GY,1732216860
242,pechora,65.1472,57.2244,5.9,81,100,4.59,RU,1732216861
243,yayva,59.3303,57.2641,30.99,92,100,9.93,RU,1732216862
244,nishinoomote,30.7333,131.0,63.97,64,15,21.63,JP,1732216863
245,dryden,49.7833,-92.7503,37.69,87,100,8.05,CA,1732216865
246,alice springs,-23.7,133.8833,65.75,26,0,0.0,AU,1732216781
247,peniche,39.3558,-9.3811,65.21,86,100,15.73,PT,1732216825
248,filadelfia,39.9523,-75.1638,46.29,93,100,13.8,US,1732216796
249,vadso,70.0744,29.7487,30.36,80,40,28.77,NO,1732216870
250,bure,10.7,37.0667,59.25,85,52,3.67,ET,1732216871
251,selfoss,63.9331,-20.9971,17.71,72,0,9.55,IS,1732216872
252,portland,45.5234,-122.6762,49.23,91,100,11.5,US,1732216647
253,fada,7.25,4.0667,76.17,82,100,3.6,NG,1732216813
254,luderitz,-26.6481,15.1594,65.32,72,0,13.18,NA,1732216875
255,yarovoye,52.9273,78.58,24.37,97,100,6.93,RU,1732216877
256,kuala lipis,4.1842,102.0468,72.1,100,100,0.16,MY,1732216592
257,fedorovka,53.6314,62.7078,20.88,93,6,6.04,KZ,1732216879
258,gizo,-8.103,156.8419,82.6,76,100,7.83,SB,1732216880
259,al qitena,14.8648,32.3668,81.73,26,1,16.44,SD,1732216881
260,wainwright,52.839,-110.8572,14.74,87,100,6.42,CA,1732216883
261,vytegra,61.0064,36.4481,33.3,100,100,3.67,RU,1732216885
262,margate,51.3813,1.3862,35.69,72,7,1.01,GB,1732216575
263,vilyuysk,63.7553,121.6247,4.53,97,98,4.9,RU,1732216887
264,egilsstadir,65.2653,-14.3948,28.31,93,75,16.11,IS,1732216888
265,shakawe,-18.3667,21.85,87.55,28,99,3.4,BW,1732216889
266,vila velha,-20.3297,-40.2925,76.95,95,75,11.99,BR,1732216807
267,tirhanimine,35.2362,-3.9545,60.69,72,40,2.3,MA,1732216891
268,kaa-khem,51.6833,94.7333,14.86,82,20,1.14,RU,1732216892
269,nuku'alofa,-21.1333,-175.2,77.34,88,75,10.36,TO,1732216893
270,ejura,7.3856,-1.3562,80.17,33,0,2.28,GH,1732216894
271,brezina,33.0989,1.2608,60.26,39,0,7.74,DZ,1732216895
272,kaitong,44.8135,123.15,23.27,76,1,7.87,CN,1732216896
273,clarence-rockland,45.5501,-75.291,42.89,92,100,6.4,CA,1732216898
274,new norfolk,-42.7826,147.0587,52.72,97,59,1.66,AU,1732216899
275,dumka,24.2667,87.25,68.99,58,88,5.35,IN,1732216900
276,susuman,62.7833,148.1667,-32.94,100,95,0.49,RU,1732216901
277,fort st. john,56.2499,-120.8529,-4.11,77,75,6.91,CA,1732216844
278,smithers,54.7804,-127.1743,23.32,80,100,3.44,CA,1732216903
279,jayapura,-2.5333,140.7,74.59,92,100,4.09,ID,1732216904
280,kirensk,57.7853,108.1119,9.21,99,85,2.28,RU,1732216905
281,plastun,44.7561,136.2939,29.62,85,100,3.53,RU,1732216906
282,sena madureira,-9.0656,-68.6569,84.76,68,70,4.76,BR,1732216907
283,tazacorte,28.629,-17.9293,77.14,38,0,8.99,ES,1732216908
284,shuangjiang,26.1547,109.7138,48.34,86,100,3.47,CN,1732216909
285,buon ma thuot,12.6667,108.05,73.11,78,92,7.56,VN,1732216911
286,olsztyn,53.7799,20.4942,30.72,80,100,14.54,PL,1732216761
287,ostersund,63.1792,14.6357,16.61,87,100,13.8,SE,1732216914
288,kapa'a,22.0752,-159.319,77.32,86,20,6.91,US,1732216915
289,karratha,-20.7377,116.8463,80.4,49,0,11.97,AU,1732216916
290,dan sadau,11.2962,6.4952,72.18,21,27,7.7,NG,1732216917
291,la gomera,14.0833,-91.05,91.11,73,36,5.68,GT,1732216918
292,pagar alam,-4.0167,103.2667,69.1,97,100,4.45,ID,1732216919
293,riyadh,24.6877,46.7219,72.95,21,0,8.19,SA,1732216724
294,auki,-8.7676,160.7034,76.64,87,89,4.36,SB,1732216922
295,saint-philippe,-21.3585,55.7679,77.16,92,57,9.17,RE,1732216923
296,eyl,7.9803,49.8164,79.9,81,53,14.47,SO,1732216924
297,pavlodar,52.3,76.95,26.4,93,100,11.18,KZ,1732216925
298,mizdah,31.4451,12.9801,63.19,55,0,4.88,LY,1732216926
299,la entrada,15.05,-88.7333,72.3,91,100,7.29,HN,1732216927
300,zhangzhou,24.5133,117.6556,63.57,91,99,0.4,CN,1732216735
301,kyzyl-mazhalyk,51.1333,90.6,8.92,84,1,2.46,RU,1732216929
302,acapulco de juarez,16.8634,-99.8901,85.82,79,75,5.75,MX,1732216737
303,santa ana,33.7456,-117.8678,75.78,28,0,3.44,US,1732216931
304,vernon,50.2581,-119.2691,38.93,86,96,3.44,CA,1732216932
305,priargunsk,50.3691,119.1012,-3.24,100,81,1.86,RU,1732216933
306,mikhaylovskoye,51.8239,79.7172,29.79,91,100,9.86,RU,1732216935
307,praia,14.9215,-23.5087,77.54,73,75,12.66,CV,1732216936
308,el carril,-25.0741,-65.4917,81.45,66,100,2.48,AR,1732216937
309,kudahuvadhoo,2.6708,72.8944,81.01,77,100,5.55,MV,1732216939
310,neijiang,29.5835,105.0622,55.08,83,100,1.61,CN,1732216940
311,howard springs,-12.497,131.047,75.11,99,100,1.79,AU,1732216941
312,togur,58.3631,82.8265,25.59,95,100,10.87,RU,1732216942
313,verkhnevilyuysk,63.4453,120.3167,5.68,97,98,5.06,RU,1732216943
314,petropavlovsk-kamchatsky,53.0452,158.6483,14.59,67,0,8.95,RU,1732216944
315,al jawf,29.5,38.75,63.07,47,100,8.48,SA,1732216945
316,fukuecho,32.6881,128.8419,61.0,58,7,19.42,JP,1732216947
317,aginskoye,51.1,114.53,17.94,98,100,4.18,RU,1732216948
318,bafoulabe,13.8065,-10.8321,85.51,17,0,6.22,ML,1732216949
319,puerto wilches,7.3483,-73.896,82.89,82,57,1.95,CO,1732216950
320,nadi,-17.8,177.4167,77.0,83,75,4.61,FJ,1732216889
321,paciran,-6.8767,112.3761,81.36,79,100,2.68,ID,1732216952
322,mugia,43.1041,-9.2179,53.91,90,100,15.95,ES,1732216953
323,dukhovnitskoye,52.4828,48.2137,39.11,84,14,23.22,RU,1732216954
324,tyukhtet,56.5389,89.3011,33.3,87,100,7.9,RU,1732216955
325,hasaki,35.7333,140.8333,57.27,69,3,7.34,JP,1732216707
326,nuuk,64.1835,-51.7216,25.41,86,20,16.11,GL,1732216842
327,carnarvon,-24.8667,113.6333,69.17,72,29,21.88,AU,1732216958
328,boke,10.9409,-14.2967,81.16,61,5,5.12,GN,1732216959
329,hadibu,12.65,54.0333,78.04,78,71,10.71,YE,1732216961
330,holualoa,19.6228,-155.9522,77.56,72,0,5.75,US,1732216889
331,talnakh,69.4865,88.3972,-23.91,100,96,7.43,RU,1732216709
332,st. john's,47.5649,-52.7093,45.28,97,100,14.97,CA,1732216964
333,vyshniy volochek,57.5913,34.5645,33.03,99,100,5.68,RU,1732216966
334,dire,12.2833,-10.9667,82.36,28,4,1.83,ML,1732216968
335,key west,24.5557,-81.7826,77.0,68,100,19.57,US,1732216748
336,lebu,-37.6167,-73.65,59.5,68,2,8.81,CL,1732216971
337,namibe,-15.1961,12.1522,72.55,72,100,13.62,AO,1732216972
338,selkirk,50.1436,-96.8845,32.97,68,93,7.31,CA,1732216865
339,zaozersk,69.4005,32.4476,27.3,95,100,31.16,RU,1732216974
340,cascais,38.6979,-9.4215,64.06,81,40,8.05,PT,1732216975
341,portalegre,39.2938,-7.4312,54.18,85,89,7.72,PT,1732216976
342,qaryat suluq,31.6682,20.2521,67.8,71,51,3.89,LY,1732216977
343,la ronge,55.1001,-105.2842,14.25,79,75,12.66,CA,1732216978
344,madison,34.7334,-86.5667,54.82,39,0,17.27,US,1732216864
345,post,33.1909,-101.3782,63.97,30,0,0.85,US,1732216980
346,gadzhiyevo,69.2551,33.3362,27.66,89,100,31.74,RU,1732216981
347,makushino,55.2103,67.2442,18.1,96,16,6.69,RU,1732216983
348,shevchenko,48.5,35.0,38.5,76,100,14.99,UA,1732216984
349,puerto colombia,10.9878,-74.9547,87.89,77,100,5.14,CO,1732216985
350,alaghsas,17.0187,8.0168,74.55,15,5,11.05,NE,1732216986
351,chita,52.0333,113.55,1.29,78,75,0.0,RU,1732216987
352,sendafa,9.15,39.0333,51.35,65,19,3.22,ET,1732216988
353,ribeira brava,32.65,-17.0667,76.12,37,26,8.28,PT,1732216989
354,angaur state,6.906,134.13,83.82,73,100,15.37,PW,1732216990
355,wynyard,-41.0,145.7167,59.18,87,99,8.99,AU,1732216991
356,nahiyat al fuhud,30.9697,46.7228,70.34,38,98,9.64,IQ,1732216992
357,perry,37.2506,-83.1999,37.04,85,100,13.53,US,1732216993
358,colonia menno,-22.3667,-59.8167,89.33,55,96,9.19,PY,1732216994
359,jabor,5.921,169.6434,83.39,78,100,15.55,MH,1732216996
360,sao joao da barra,-21.6403,-41.0511,82.49,71,94,19.15,BR,1732216737
361,laguna,38.421,-121.4238,61.21,53,100,5.75,US,1732216998
362,sisimiut,66.9395,-53.6735,22.66,88,92,8.28,GL,1732216817
363,gazli,40.1333,63.45,45.46,64,3,15.79,UZ,1732217000
364,crane,31.3974,-102.3501,63.01,28,0,2.8,US,1732217001
365,kulu,39.0951,33.0799,52.84,69,100,20.76,TR,1732217002
